#,Z0 [km],Z1 [km],PL [km],P [Pa],T [K],H2O,CO2,O3,N2O,CO,CH4,O2,N2,Ar
1,0.00,0.10,0.10000,100697.30225,287.87,7.6573221E-03,3.8004431E-04,2.6744971E-08,3.2023897E-07,1.4985868E-07,1.7012743E-06,2.0915587E-01,7.7355174E-01,9.2528217E-03
2,0.10,0.20,0.10000,99500.30518,287.23,7.4731829E-03,3.8004757E-04,2.7011305E-08,3.2024224E-07,1.4935317E-07,1.7012859E-06,2.0915878E-01,7.7373083E-01,9.2549638E-03
3,0.20,0.30,0.10000,98317.27295,286.58,7.2934777E-03,3.8005254E-04,2.7272709E-08,3.2024707E-07,1.4884883E-07,1.7013097E-06,2.0916124E-01,7.7390597E-01,9.2570588E-03
4,0.30,0.40,0.10000,97148.21167,285.93,7.1180305E-03,3.8005490E-04,2.7533348E-08,3.2024772E-07,1.4834590E-07,1.7013143E-06,2.0916177E-01,7.7407882E-01,9.2591263E-03
5,0.40,0.50,0.10000,95992.99927,285.27,6.9468380E-03,3.8005615E-04,2.7807420E-08,3.2024988E-07,1.4784467E-07,1.7013228E-06,2.0916334E-01,7.7424644E-01,9.2611312E-03
6,0.50,0.60,0.10000,94851.96533,284.63,6.7797713E-03,3.8006171E-04,2.8076512E-08,3.2025335E-07,1.4734614E-07,1.7013465E-06,2.0916519E-01,7.7440970E-01,9.2630841E-03
7,0.60,0.70,0.10000,93723.85864,283.98,6.6166990E-03,3.8006323E-04,2.8359112E-08,3.2025477E-07,1.4684780E-07,1.7013551E-06,2.0916586E-01,7.7457018E-01,9.2650037E-03
8,0.70,0.80,0.10000,92610.18066,283.33,6.4575248E-03,3.8006328E-04,2.8626875E-08,3.2025568E-07,1.4635113E-07,1.7013542E-06,2.0916755E-01,7.7472580E-01,9.2668651E-03
9,0.80,0.90,0.10000,91508.79517,282.68,6.3021979E-03,3.8006456E-04,2.8903722E-08,3.2025673E-07,1.4585650E-07,1.7013672E-06,2.0916763E-01,7.7487921E-01,9.2687002E-03
10,0.90,1.00,0.10000,90420.12939,282.02,6.1505721E-03,3.8006506E-04,2.9194448E-08,3.2025693E-07,1.4536292E-07,1.7013666E-06,2.0916760E-01,7.7502907E-01,9.2704927E-03
11,1.00,1.25,0.25000,88520.92285,280.89,5.8755800E-03,3.8006250E-04,2.9700320E-08,3.2025457E-07,1.4447069E-07,1.7013558E-06,2.0916663E-01,7.7530178E-01,9.2737547E-03
12,1.25,1.50,0.25000,85846.36841,279.26,5.4909759E-03,3.8005889E-04,3.0446010E-08,3.2025147E-07,1.4318157E-07,1.7013346E-06,2.0916434E-01,7.7568410E-01,9.2783278E-03
13,1.50,1.75,0.25000,83252.58179,277.64,5.1315110E-03,3.8005147E-04,3.1212348E-08,3.2024522E-07,1.4190299E-07,1.7013047E-06,2.0916015E-01,7.7604347E-01,9.2826264E-03
14,1.75,2.00,0.25000,80737.29858,276.02,4.7955187E-03,3.8003986E-04,3.1993196E-08,3.2023584E-07,1.4063411E-07,1.7012502E-06,2.0915397E-01,7.7638161E-01,9.2866710E-03
15,2.00,2.25,0.25000,78270.48340,274.39,4.4242670E-03,3.8001745E-04,3.2491752E-08,3.2021686E-07,1.3936234E-07,1.7011517E-06,2.0914139E-01,7.7676092E-01,9.2912082E-03
16,2.25,2.50,0.25000,75851.93481,272.77,4.0277741E-03,3.7998860E-04,3.2690732E-08,3.2019284E-07,1.3808986E-07,1.7010235E-06,2.0912592E-01,7.7716805E-01,9.2960780E-03
17,2.50,2.75,0.25000,73508.09937,271.14,3.6668028E-03,3.7995877E-04,3.2890703E-08,3.2016789E-07,1.3682843E-07,1.7008889E-06,2.0910963E-01,7.7754088E-01,9.3005377E-03
18,2.75,3.00,0.25000,71236.71265,269.51,3.3381749E-03,3.7992848E-04,3.3091947E-08,3.2014157E-07,1.3557833E-07,1.7007527E-06,2.0909248E-01,7.7788260E-01,9.3046251E-03
19,3.00,3.25,0.25000,69009.91821,267.89,3.0342883E-03,3.7991515E-04,3.3278667E-08,3.2013017E-07,1.3448891E-07,1.7006920E-06,2.0908479E-01,7.7819051E-01,9.3083082E-03
20,3.25,3.50,0.25000,66826.91040,266.27,2.7535658E-03,3.7991517E-04,3.3450437E-08,3.2013048E-07,1.3355726E-07,1.7006946E-06,2.0908572E-01,7.7846700E-01,9.3116154E-03
21,3.50,4.00,0.50000,63702.83813,263.84,2.3846428E-03,3.7990557E-04,3.3707664E-08,3.2012204E-07,1.3217480E-07,1.7006492E-06,2.0907986E-01,7.7883736E-01,9.3160455E-03
22,4.00,4.50,0.50000,59690.77759,260.59,1.9422086E-03,3.7992481E-04,3.4795157E-08,3.2013850E-07,1.3103309E-07,1.7007364E-06,2.0909050E-01,7.7926403E-01,9.3211491E-03
23,4.50,5.00,0.50000,55886.00464,257.34,1.5628497E-03,3.7996727E-04,3.6704041E-08,3.2017431E-07,1.3059758E-07,1.7009270E-06,2.0911388E-01,7.7961576E-01,9.3253563E-03
24,5.00,5.50,0.50000,52281.07300,254.09,1.2644272E-03,3.7997120E-04,3.8528793E-08,3.2017758E-07,1.2999899E-07,1.7009434E-06,2.0911607E-01,7.7990848E-01,9.3288577E-03
25,5.50,6.00,0.50000,48866.29333,250.84,1.0289896E-03,3.7992757E-04,4.0244537E-08,3.2014094E-07,1.2923383E-07,1.7007494E-06,2.0909223E-01,7.8016474E-01,9.3319229E-03
26,6.00,6.50,0.50000,45636.12976,247.59,8.2385325E-04,3.7995592E-04,4.3219430E-08,3.2016479E-07,1.2783930E-07,1.7006266E-06,2.0910759E-01,7.8035224E-01,9.3341657E-03
27,6.50,7.00,0.50000,42581.36292,244.34,6.4788532E-04,3.8005636E-04,4.7713680E-08,3.2024974E-07,1.2582142E-07,1.7005776E-06,2.0916297E-01,7.8047130E-01,9.3355899E-03
28,7.00,7.50,0.50000,39693.20984,241.09,5.1387883E-04,3.8009160E-04,5.2368396E-08,3.2027927E-07,1.2324612E-07,1.6999863E-06,2.0918229E-01,7.8058460E-01,9.3369450E-03
29,7.50,8.00,0.50000,36963.39417,237.84,4.1141221E-04,3.8005578E-04,5.7147069E-08,3.2024894E-07,1.2013186E-07,1.6988258E-06,2.0916265E-01,7.8070530E-01,9.3383888E-03
30,8.00,8.50,0.50000,34390.29236,234.59,3.0026093E-04,3.8003389E-04,6.6530347E-08,3.2010675E-07,1.1627073E-07,1.6972315E-06,2.0915066E-01,7.8082700E-01,9.3398445E-03
31,8.50,9.00,0.50000,31965.45715,231.34,1.9727937E-04,3.8003217E-04,8.2473292E-08,3.1985491E-07,1.1171657E-07,1.6952224E-06,2.0914972E-01,7.8092969E-01,9.3410728E-03
32,9.00,9.50,0.50000,29682.00989,228.11,1.3033135E-04,3.8003601E-04,1.0040944E-07,3.1933499E-07,1.0698130E-07,1.6922456E-06,2.0915176E-01,7.8099381E-01,9.3418398E-03
33,9.50,10.00,0.50000,27532.14417,224.91,8.6644133E-05,3.8004096E-04,1.2016432E-07,3.1853878E-07,1.0208884E-07,1.6882650E-06,2.0915465E-01,7.8103411E-01,9.3423219E-03
34,10.00,10.50,0.50000,25510.84900,221.69,5.9723599E-05,3.8004090E-04,1.4880519E-07,3.1716539E-07,9.7135150E-08,1.6837640E-06,2.0915459E-01,7.8106076E-01,9.3426406E-03
35,10.50,11.00,0.50000,23610.99091,218.44,4.2918404E-05,3.8003110E-04,1.9036740E-07,3.1520574E-07,9.2138784E-08,1.6787164E-06,2.0914885E-01,7.8108302E-01,9.3429068E-03
36,11.00,11.50,0.50000,21842.58118,216.78,3.1007603E-05,3.8000883E-04,2.3561967E-07,3.1308883E-07,8.6727809E-08,1.6728778E-06,2.0913664E-01,7.8110684E-01,9.3431918E-03
37,11.50,12.00,0.50000,20192.59796,216.73,2.2521850E-05,3.8001611E-04,2.8276929E-07,3.1084335E-07,8.0975298E-08,1.6664052E-06,2.0914076E-01,7.8111112E-01,9.3432430E-03
38,12.00,12.50,0.50000,18667.33093,216.7,1.6652726E-05,3.8002420E-04,3.2692944E-07,3.0854861E-07,7.4393796E-08,1.6589435E-06,2.0914517E-01,7.8111252E-01,9.3432598E-03
39,12.50,13.00,0.50000,17257.33032,216.7,1.2564588E-05,3.8003232E-04,3.6445050E-07,3.0620373E-07,6.7191678E-08,1.6504725E-06,2.0914973E-01,7.8111203E-01,9.3432539E-03
40,13.00,13.50,0.50000,15953.85284,216.7,9.3883436E-06,3.8002004E-04,4.1151947E-07,3.0379221E-07,6.0184412E-08,1.6414161E-06,2.0914303E-01,7.8112177E-01,9.3433704E-03
41,13.50,14.00,0.50000,14748.85101,216.7,6.9382863E-06,3.7998561E-04,4.7057611E-07,3.0131307E-07,5.3432629E-08,1.6317608E-06,2.0912392E-01,7.8114307E-01,9.3436252E-03
42,14.00,14.50,0.50000,13634.78546,216.7,5.6882345E-06,3.7996686E-04,5.3660847E-07,2.9869690E-07,4.7380766E-08,1.6216783E-06,2.0911379E-01,7.8115429E-01,9.3437594E-03
43,14.50,15.00,0.50000,12604.78745,216.7,5.2244709E-06,3.7996451E-04,6.1023087E-07,2.9594358E-07,4.1959911E-08,1.6111613E-06,2.0911241E-01,7.8115606E-01,9.3437806E-03
44,15.00,16.00,1.00000,11230.00183,216.7,4.4708750E-06,3.7999541E-04,7.5258697E-07,2.9130481E-07,3.5004010E-08,1.5947592E-06,2.0912933E-01,7.8113994E-01,9.3435878E-03
45,16.00,17.00,1.00000,9599.99771,216.7,3.9036895E-06,3.8001325E-04,1.0169126E-06,2.8328515E-07,2.7782994E-08,1.5688780E-06,2.0913923E-01,7.8113048E-01,9.3434746E-03
46,17.00,18.00,1.00000,8207.49893,216.7,3.8400353E-06,3.7998025E-04,1.3729086E-06,2.7296613E-07,2.2253532E-08,1.5382528E-06,2.0912108E-01,7.8114821E-01,9.3436866E-03
47,18.00,19.00,1.00000,7015.99960,216.7,3.8393960E-06,3.7998176E-04,1.7946930E-06,2.6017312E-07,1.7556889E-08,1.5018171E-06,2.0912179E-01,7.8114714E-01,9.3436739E-03
48,19.00,20.00,1.00000,5997.99995,216.7,3.8764683E-06,3.7997364E-04,2.2876818E-06,2.4485973E-07,1.4409030E-08,1.4533676E-06,2.0911746E-01,7.8115097E-01,9.3437197E-03
49,20.00,22.00,2.00000,4788.41553,217.57,3.9764941E-06,3.7997778E-04,3.0358181E-06,2.2097053E-07,1.2598199E-08,1.3559661E-06,2.0911972E-01,7.8114802E-01,9.3436843E-03
50,22.00,24.00,2.00000,3509.76715,219.55,4.1870412E-06,3.7997050E-04,4.1238559E-06,1.9704146E-07,1.3073440E-08,1.1973241E-06,2.0911567E-01,7.8115092E-01,9.3437191E-03
51,24.00,26.00,2.00000,2580.36308,221.54,4.4063904E-06,3.8000545E-04,5.0418298E-06,1.7740817E-07,1.4803017E-08,1.0667032E-06,2.0913491E-01,7.8113090E-01,9.3434796E-03
52,26.00,28.00,2.00000,1902.99072,223.47,4.5444967E-06,3.8001285E-04,5.6498752E-06,1.6246848E-07,1.5766954E-08,1.0021820E-06,2.0913896E-01,7.8112623E-01,9.3434237E-03
53,28.00,30.00,2.00000,1407.21016,225.45,4.6642508E-06,3.7998866E-04,6.2325935E-06,1.4873616E-07,1.6631679E-08,9.4450036E-07,2.0912573E-01,7.8113870E-01,9.3435729E-03
54,30.00,32.00,2.00000,1043.50023,227.67,4.7074454E-06,3.7536325E-04,6.7746596E-06,1.3014554E-07,1.7414909E-08,8.7108037E-07,2.0658007E-01,7.8365835E-01,9.3737117E-03
55,32.00,34.00,2.00000,776.75004,230.94,4.7230560E-06,3.7075937E-04,7.2671910E-06,1.0919968E-07,1.8337271E-08,7.9487688E-07,2.0404629E-01,7.8616633E-01,9.4037107E-03
56,34.00,36.00,2.00000,581.42772,236.36,4.8948600E-06,3.7965289E-04,7.7794029E-06,9.2485571E-08,2.0089036E-08,7.4666866E-07,2.0894088E-01,7.8132019E-01,9.3457438E-03
57,36.00,38.00,2.00000,438.18765,241.88,5.0474359E-06,3.8805505E-04,7.9678821E-06,7.3569971E-08,2.2208699E-08,6.9390808E-07,2.1356495E-01,7.7674221E-01,9.2909843E-03
58,38.00,40.00,2.00000,332.41796,247.45,5.0566086E-06,3.8457511E-04,7.6026390E-06,5.4176880E-08,2.4073520E-08,6.1123779E-07,2.1164984E-01,7.7863857E-01,9.3136676E-03
59,40.00,42.00,2.00000,253.74177,253.02,5.0756607E-06,3.8000967E-04,6.8690915E-06,3.7642952E-08,2.6195995E-08,5.2326124E-07,2.0913728E-01,7.8112675E-01,9.3434299E-03
60,42.00,46.00,4.00000,175.76751,260.9,5.1898683E-06,3.7999873E-04,5.6845497E-06,2.1269509E-08,3.0447396E-08,4.0876645E-07,2.0913120E-01,7.8113395E-01,9.3435161E-03
61,46.00,50.00,4.00000,105.69584,269.76,5.2437290E-06,3.8003578E-04,3.9669685E-06,8.7507939E-09,3.8790922E-08,2.6933361E-07,2.0915161E-01,7.8111553E-01,9.3432958E-03
62,50.00,54.00,4.00000,63.91487,267.03,5.1818847E-06,3.7999649E-04,2.5585023E-06,4.0358978E-09,5.2859484E-08,1.9255586E-07,2.0913003E-01,7.8113841E-01,9.3435695E-03
63,54.00,58.00,4.00000,38.41681,258.35,5.0363133E-06,3.8001817E-04,1.6718860E-06,2.8382956E-09,7.2663589E-08,1.6327704E-07,2.0914195E-01,7.8112764E-01,9.3434406E-03
64,58.00,62.00,4.00000,22.59020,247.46,4.7452750E-06,3.8005048E-04,1.1293572E-06,2.1092150E-09,1.0706705E-07,1.5181011E-07,2.0915969E-01,7.8111088E-01,9.3432402E-03
65,62.00,66.00,4.00000,12.99117,236.49,4.3229702E-06,3.8004681E-04,7.7787752E-07,1.6291317E-09,1.6487030E-07,1.5011317E-07,2.0915766E-01,7.8111360E-01,9.3432727E-03
66,66.00,70.00,4.00000,7.29694,225.53,3.7958089E-06,3.8006320E-04,4.4250618E-07,1.2967116E-09,2.4819016E-07,1.5011966E-07,2.0916671E-01,7.8110541E-01,9.3431747E-03